회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부
코웰패션,2014,-4.110449818,7.814536949,1.19608365,351.191097,45.12590079,2016-12-31,0
라이온켐텍,2014,40.77619926,61.03295392,20.7279861,1007.050999,129.6536962,2016-12-31,0
에코프로,2015,-9.485385964,2.514229315,2.635309006,185.7813017,48.63717537,2017-12-31,0
나스미디어,2015,38.6867316,30.64002969,8.250248547,196.3010751,32.09596545,2017-12-31,0
케이엠더블유,2015,-8.914345289,-2.327662443,-15.42775803,122.879775,68.56474624,2017-12-31,0
메카로,2015,23.9909083,29.32280285,13.65665905,204.1194399,85.9223324,2017-12-31,0
다원시스,2015,45.28210948,19.17939595,4.157928353,297.773517,33.66970421,2017-12-31,0
테크윙,2015,10.02614694,27.70445143,12.05122358,184.1249635,64.29694557,2017-12-31,0
대한광통신,2015,-5.784247007,-18.69267177,-2.744315564,192.2482058,71.48285215,2017-12-31,0
셀트리온,2016,21.30471305,38.67351845,8.361890732,367.1975356,22.19040545,2018-12-31,0
상상인,2016,-12.56791553,10.19657533,-0.053635347,115.996286,23.32192201,2018-12-31,0
에스티큐브,2016,44.65751974,-16.58514325,5.037316196,353.4695241,37.43421548,2018-12-31,0
드림어스컴퍼니,2016,68.33398662,-20.57212082,-15.71950438,419.3704083,104.4987566,2018-12-31,0
코스메카코리아,2016,45.52652559,22.40830507,7.223616033,374.3986444,115.4707112,2018-12-31,0
지니뮤직,2016,45.06304644,-14.62394818,4.450491383,262.3904775,101.0965368,2018-12-31,0
대주전자재료,2016,-8.786573198,9.737697955,2.277756289,170.6489195,48.08419962,2018-12-31,0
크리스에프앤씨,2016,30.55843144,46.65196308,19.91939649,213.2872192,133.252743,2018-12-31,0
앤디포스,2016,81.28128229,35.27597362,18.93411843,1071.39392,79.49394764,2018-12-31,0
에이치엘비,2018,31.64360144,13.03060407,0.54416056,321.6775779,11.90168741,2020-12-31,0
